case_id,activity,timestamp
ORDER-950,Order Created,2026-09-18T08:00:00Z
ORDER-950,Payment Received,2026-09-18T08:05:00Z
ORDER-950,Packed,2026-09-18T08:30:00Z
ORDER-950,Inspected,2026-09-18T08:45:00Z
ORDER-950,Packed,2026-09-18T09:00:00Z
ORDER-950,Shipped,2026-09-18T10:00:00Z
ORDER-951,Order Created,2026-09-18T09:00:00Z
ORDER-951,Payment Attempt,2026-09-18T09:01:00Z
ORDER-951,Payment Attempt,2026-09-18T09:03:00Z
ORDER-951,Payment Received,2026-09-18T09:04:00Z
ORDER-951,Packed,2026-09-18T09:30:00Z
ORDER-951,Shipped,2026-09-18T11:00:00Z
ORDER-952,Order Created,2026-09-18T10:00:00Z
ORDER-952,Payment Received,2026-09-18T10:05:00Z
ORDER-952,Packed,2026-09-18T10:30:00Z
ORDER-952,Inspected,2026-09-18T10:45:00Z
ORDER-952,Packed,2026-09-18T11:00:00Z
ORDER-952,Inspected,2026-09-18T11:15:00Z
ORDER-952,Packed,2026-09-18T11:30:00Z
ORDER-952,Inspected,2026-09-18T11:45:00Z
ORDER-952,Packed,2026-09-18T12:00:00Z
ORDER-952,Shipped,2026-09-18T13:00:00Z
ORDER-953,Order Created,2026-09-18T12:00:00Z
ORDER-953,Payment Attempt,2026-09-18T12:01:00Z
ORDER-953,Payment Attempt,2026-09-18T12:02:00Z
ORDER-953,Payment Attempt,2026-09-18T12:03:00Z
ORDER-953,Payment Received,2026-09-18T12:04:00Z
