case_id,activity,timestamp
ORDER-901,Packed,2026-09-18T09:40:00Z
ORDER-900,Shipped,2026-09-18T12:00:00Z
ORDER-902,Payment Received,2026-09-18T14:15:00Z
ORDER-901,Order Created,2026-09-18T09:00:00Z
ORDER-900,Order Created,2026-09-18T10:00:00Z
ORDER-902,Delivered,2026-09-19T08:30:00Z
ORDER-901,Payment Received,2026-09-18T09:20:00Z
ORDER-902,Order Created,2026-09-18T14:00:00Z
ORDER-900,Packed,2026-09-18T11:00:00Z
ORDER-902,Shipped,2026-09-18T18:45:00Z
ORDER-900,Payment Received,2026-09-18T10:30:00Z
ORDER-902,Packed,2026-09-18T16:00:00Z
